,mouse,date,session,filepath
0,1404,2022-07-29,of,Bri/optetrode_recordings/chR2/1404/1404_2022-07-29_11-06-30_of
1,1404,2022-07-29,opto,Bri/optetrode_recordings/chR2/1404/1404_2022-07-29_11-38-45_opto
2,1404,2022-08-01,of,Bri/optetrode_recordings/chR2/1404/1404_2022-08-01_12-13-08_of
3,1404,2022-08-01,opto,Bri/optetrode_recordings/chR2/1404/1404_2022-08-01_12-45-22_opto
4,1464,2022-08-15,of,Bri/optetrode_recordings/chR2/1464/1464_2022-08-15_12-52-29_of
5,1464,2022-08-15,opto,Bri/optetrode_recordings/chR2/1464/1464_2022-08-15_13-21-50_opto
6,1464,2022-08-19,of,Bri/optetrode_recordings/chR2/1464/1464_2022-08-19_11-41-57_of
7,1464,2022-08-19,opto,Bri/optetrode_recordings/chR2/1464/1464_2022-08-19_12-09-51_opto
8,1464,2022-09-09,of,Bri/optetrode_recordings/chR2/1464/1464_2022-09-09_10-01-04_of
9,1464,2022-09-09,opto,Bri/optetrode_recordings/chR2/1464/1464_2022-09-09_10-27-46_opto
10,1464,2022-09-16,of,Bri/optetrode_recordings/chR2/1464/1464_2022-09-16_11-18-43_of
11,1464,2022-09-16,opto,Bri/optetrode_recordings/chR2/1464/1464_2022-09-16_11-51-03_opto
12,1464,2022-09-21,of,Bri/optetrode_recordings/chR2/1464/1464_2022-09-21_11-00-01_of
13,1464,2022-09-21,opto,Bri/optetrode_recordings/chR2/1464/1464_2022-09-21_11-33-06_opto
14,1464,2022-09-23,of,Bri/optetrode_recordings/chR2/1464/1464_2022-09-23_11-50-01_of
15,1464,2022-09-23,opto,Bri/optetrode_recordings/chR2/1464/1464_2022-09-23_12-22-09_opto
16,1464,2022-09-26,of1,Bri/optetrode_recordings/chR2/1464/1464_2022-09-26_11-52-12_of1
17,1464,2022-09-26,of2,Bri/optetrode_recordings/chR2/1464/1464_2022-09-26_12-12-45_of2
18,1464,2022-09-26,of3,Bri/optetrode_recordings/chR2/1464/1464_2022-09-26_12-24-51_of3
19,1464,2022-09-26,opto,Bri/optetrode_recordings/chR2/1464/1464_2022-09-26_12-35-58_opto
20,1464,2022-09-28,of1,Bri/optetrode_recordings/chR2/1464/1464_2022-09-28_09-48-43_of1
21,1464,2022-09-28,of2,Bri/optetrode_recordings/chR2/1464/1464_2022-09-28_10-01-27_of2
22,1464,2022-09-28,of3,Bri/optetrode_recordings/chR2/1464/1464_2022-09-28_10-13-24_of3
23,1464,2022-09-28,opto,Bri/optetrode_recordings/chR2/1464/1464_2022-09-28_10-24-56_opto
24,1464,2022-09-30,of1,Bri/optetrode_recordings/chR2/1464/1464_2022-09-30_10-23-49_of1
25,1464,2022-09-30,of2,Bri/optetrode_recordings/chR2/1464/1464_2022-09-30_10-34-15_of2
26,1464,2022-09-30,of3,Bri/optetrode_recordings/chR2/1464/1464_2022-09-30_10-47-11_of3
27,1464,2022-09-30,opto,Bri/optetrode_recordings/chR2/1464/1464_2022-09-30_10-58-42_opto
28,1464,2022-10-12,of1,Bri/optetrode_recordings/chR2/1464/1464_2022-10-12_11-37-38_of1
29,1464,2022-10-12,of2,Bri/optetrode_recordings/chR2/1464/1464_2022-10-12_11-48-08_of2
30,1464,2022-10-12,of3,Bri/optetrode_recordings/chR2/1464/1464_2022-10-12_11-59-58_of3
31,1464,2022-10-12,opto,Bri/optetrode_recordings/chR2/1464/1464_2022-10-12_12-11-25_opto
32,1464,2022-10-17,of1,Bri/optetrode_recordings/chR2/1464/1464_2022-10-17_11-41-11_of1
33,1464,2022-10-17,of2,Bri/optetrode_recordings/chR2/1464/1464_2022-10-17_11-51-36_of2
34,1464,2022-10-17,of3,Bri/optetrode_recordings/chR2/1464/1464_2022-10-17_12-04-30_of3
35,1464,2022-10-17,opto,Bri/optetrode_recordings/chR2/1464/1464_2022-10-17_12-15-27_opto
36,1464,2022-10-24,of1,Bri/optetrode_recordings/chR2/1464/1464_2022-10-24_10-20-45_of1
37,1464,2022-10-24,of2,Bri/optetrode_recordings/chR2/1464/1464_2022-10-24_10-33-18_of2
38,1464,2022-10-24,of3,Bri/optetrode_recordings/chR2/1464/1464_2022-10-24_10-46-07_of3
39,1464,2022-10-24,opto,Bri/optetrode_recordings/chR2/1464/1464_2022-10-24_10-57-58_opto
40,1474,2022-08-15,of,Bri/optetrode_recordings/chR2/1474/1474_2022-08-15_12-06-48_of
41,1474,2022-08-15,opto,Bri/optetrode_recordings/chR2/1474/1474_2022-08-15_12-38-39_opto
42,1474,2022-08-19,of,Bri/optetrode_recordings/chR2/1474/1474_2022-08-19_10-20-16_of
43,1474,2022-08-19,opto,Bri/optetrode_recordings/chR2/1474/1474_2022-08-19_10-59-41_opto
44,1474,2022-08-29,of,Bri/optetrode_recordings/chR2/1474/1474_2022-08-29_14-45-30_of
45,1474,2022-08-29,opto,Bri/optetrode_recordings/chR2/1474/1474_2022-08-29_15-21-38_opto
46,1474,2022-08-31,of,Bri/optetrode_recordings/chR2/1474/1474_2022-08-31_12-56-52_of
47,1474,2022-08-31,opto,Bri/optetrode_recordings/chR2/1474/1474_2022-08-31_13-29-36_opto
48,1474,2022-09-14,of,Bri/optetrode_recordings/chR2/1474/1474_2022-09-14_12-24-14_of
49,1474,2022-09-14,opto,Bri/optetrode_recordings/chR2/1474/1474_2022-09-14_12-57-43_opto
50,1474,2022-09-16,of,Bri/optetrode_recordings/chR2/1474/1474_2022-09-16_12-30-24_of
