,mouse,date,one_name,one_samples,two_name,two_samples
0,22,43,MCVR1,57523449,IM,46915169
1,22,44,MCVR1,61790249,IM,47193108
2,25,26,MCVR,61500727,IM,47217810
3,25,27,MCVR,64721539,IM,47082842
4,26,20,MCVR1,60986319,IM,49276097
5,26,21,MCVR1,63751666,IM,49927694
6,26,22,MCVR1,58577366,IMSEQ,54695278
7,26,23,MCVR1,54684035,IMSEQ,56256788
8,27,25,MCVR1,59108276,IM,47046905
9,27,27,MCVR,56769937,IM,46987901
10,28,24,MCVR1,62327953,VIS1,47313145
11,28,26,MCVR1,67455253,IM1,50325200
12,28,27,MCVR1,76481896,IMSEQ,81852015
13,29,24,MCVR1,67690766,VIS1,46992398
14,29,26,MCVR1,66010997,IM1,47536986
15,29,27,MCVR1,81705838,IMSEQ,81948693
