,mouse,day,session,filepath
0,1,1,openfield,Teris/FragileX/data/openfield/M1_D1_2021-01-11_16-14-41
1,1,1,VR,Teris/FragileX/data/VR/M1_D1_2021-01-11_15-14-44
2,1,2,openfield,Teris/FragileX/data/openfield/M1_D2_2021-01-12_16-37-50
3,1,2,VR,Teris/FragileX/data/VR/M1_D2_2021-01-12_15-04-58
4,1,3,openfield,Teris/FragileX/data/openfield/M1_D3_2021-01-13_16-00-32
5,1,3,VR,Teris/FragileX/data/VR/M1_D3_2021-01-13_15-02-03
6,1,4,openfield,Teris/FragileX/data/openfield/M1_D4_2021-01-14_16-26-02
7,1,4,VR,Teris/FragileX/data/VR/M1_D4_2021-01-14_15-40-53
8,1,5,openfield,Teris/FragileX/data/openfield/M1_D5_2021-01-15_16-30-55
9,1,5,VR,Teris/FragileX/data/VR/M1_D5_2021-01-15_15-09-04
10,1,6,openfield,Teris/FragileX/data/openfield/M1_D6_2021-01-18_16-03-30
11,1,6,VR,Teris/FragileX/data/VR/M1_D6_2021-01-18_15-09-52
12,1,7,openfield,Teris/FragileX/data/openfield/M1_D7_2021-01-19_16-03-47
13,1,7,VR,Teris/FragileX/data/VR/M1_D7_2021-01-19_15-16-32
14,1,8,openfield,Teris/FragileX/data/openfield/M1_D8_2021-01-20_16-09-22
15,1,8,VR,Teris/FragileX/data/VR/M1_D8_2021-01-20_15-20-48
16,1,9,openfield,Teris/FragileX/data/openfield/M1_D9_2021-01-21_15-56-29
17,1,9,VR,Teris/FragileX/data/VR/M1_D9_2021-01-21_15-07-16
18,1,10,openfield,Teris/FragileX/data/openfield/M1_D10_2021-01-22_16-24-33
19,1,10,VR,Teris/FragileX/data/VR/M1_D10_2021-01-22_15-22-13
20,1,11,openfield,Teris/FragileX/data/openfield/M1_D11_2021-01-25_15-55-10
21,1,11,VR,Teris/FragileX/data/VR/M1_D11_2021-01-25_15-07-46
22,1,12,openfield,Teris/FragileX/data/openfield/M1_D12_2021-01-26_16-07-25
23,1,12,VR,Teris/FragileX/data/VR/M1_D12_2021-01-26_15-12-21
24,1,13,openfield,Teris/FragileX/data/openfield/M1_D13_2021-01-27_15-52-41
25,1,13,VR,Teris/FragileX/data/VR/M1_D13_2021-01-27_15-02-30
26,1,14,openfield,Teris/FragileX/data/openfield/M1_D14_2021-01-28_16-01-02
27,1,14,VR,Teris/FragileX/data/VR/M1_D14_2021-01-28_15-10-12
28,1,15,openfield,Teris/FragileX/data/openfield/M1_D15_2021-01-29_15-55-56
29,1,15,VR,Teris/FragileX/data/VR/M1_D15_2021-01-29_15-04-39
30,1,16,openfield,Teris/FragileX/data/openfield/M1_D16_2021-02-01_16-06-58
31,1,16,VR,Teris/FragileX/data/VR/M1_D16_2021-02-01_15-10-48
32,1,17,openfield,Teris/FragileX/data/openfield/M1_D17_2021-02-02_15-57-48
33,1,17,VR,Teris/FragileX/data/VR/M1_D17_2021-02-02_15-09-23
34,1,18,openfield,Teris/FragileX/data/openfield/M1_D18_2021-02-03_16-03-10
35,1,18,VR,Teris/FragileX/data/VR/M1_D18_2021-02-03_15-07-28
36,1,19,openfield,Teris/FragileX/data/openfield/M1_D19_2021-02-04_16-33-56
37,1,19,VR,Teris/FragileX/data/VR/M1_D19_2021-02-04_15-27-01
38,1,20,openfield,Teris/FragileX/data/openfield/M1_D20_2021-02-05_16-00-38
39,1,20,VR,Teris/FragileX/data/VR/M1_D20_2021-02-05_15-03-10
40,1,21,openfield,Teris/FragileX/data/openfield/M1_D21_2021-02-08_15-58-20
41,1,21,VR,Teris/FragileX/data/VR/M1_D21_2021-02-08_15-04-37
42,1,22,openfield,Teris/FragileX/data/openfield/M1_D22_2021-02-09_16-02-58
43,1,22,VR,Teris/FragileX/data/VR/M1_D22_2021-02-09_15-05-55
44,1,23,openfield,Teris/FragileX/data/openfield/M1_D23_2021-02-10_17-09-25
45,1,23,VR,Teris/FragileX/data/VR/M1_D23_2021-02-10_15-34-37
46,1,24,openfield,Teris/FragileX/data/openfield/M1_D24_2021-02-11_16-22-49
47,1,24,VR,Teris/FragileX/data/VR/M1_D24_2021-02-11_15-05-14
48,1,25,openfield,Teris/FragileX/data/openfield/M1_D25_2021-02-12_16-18-03
49,1,25,VR,Teris/FragileX/data/VR/M1_D25_2021-02-12_15-07-44
50,1,26,openfield,Teris/FragileX/data/openfield/M1_D26_2021-02-15_16-08-47
51,1,26,VR,Teris/FragileX/data/VR/M1_D26_2021-02-15_15-07-09
52,1,27,openfield,Teris/FragileX/data/openfield/M1_D27_2021-02-16_16-05-42
53,1,27,VR,Teris/FragileX/data/VR/M1_D27_2021-02-16_15-15-38
54,1,28,openfield,Teris/FragileX/data/openfield/M1_D28_2021-02-17_15-57-52
55,1,28,VR,Teris/FragileX/data/VR/M1_D28_2021-02-17_15-05-32
56,1,29,openfield,Teris/FragileX/data/openfield/M1_D29_2021-02-18_16-00-27
57,1,29,VR,Teris/FragileX/data/VR/M1_D29_2021-02-18_15-18-25
58,1,30,openfield,Teris/FragileX/data/openfield/M1_D30_2021-02-19_15-56-23
59,1,30,VR,Teris/FragileX/data/VR/M1_D30_2021-02-19_15-03-48
60,1,31,openfield,Teris/FragileX/data/openfield/M1_D31_2021-02-22_16-00-58
61,1,31,VR,Teris/FragileX/data/VR/M1_D31_2021-02-22_15-21-00
62,1,32,openfield,Teris/FragileX/data/openfield/M1_D32_2021-02-23_15-42-30
