mouse,day,session,filepath
10,13,OF,Wolf/mmnav/data/raw/OF/M10_D13_2026-06-19_17-46-45_OF
7,12,OF,Wolf/mmnav/data/raw/OF/M07_D12_2026-06-18_13-48-57_OF
9,13,OF,Wolf/mmnav/data/raw/OF/M09_D13_2026-06-19_15-38-24_OF
9,22,OF,Wolf/mmnav/data/raw/OF/M09_D22_2026-06-29_15-20-25_OF
8,18,OF,Wolf/mmnav/data/raw/OF/M08_D18_2026-06-25_14-26-08_OF
5,8,OF1,Wolf/mmnav/data/raw/OF/M05_D08_2025-11-20_16-39-45_OF1
9,17,OF,Wolf/mmnav/data/raw/OF/M09_D17_2026-06-24_15-42-10_OF
10,17,OF,Wolf/mmnav/data/raw/OF/M10_D17_2026-06-24_16-59-05_OF
5,5,OF1,Wolf/mmnav/data/raw/OF/M05_D05_2025-11-17_16-41-09_OF1
7,18,OF,Wolf/mmnav/data/raw/OF/M07_D18_2026-06-25_12-57-30_OF
10,22,OF,Wolf/mmnav/data/raw/OF/M10_D22_2026-06-29_16-26-28_OF
9,12,OF,Wolf/mmnav/data/raw/OF/M09_D12_2026-06-18_16-17-09_OF
8,20,OF,Wolf/mmnav/data/raw/OF/M08_D20_2026-06-27_14-23-38_OF
9,16,OF,Wolf/mmnav/data/raw/OF/M09_D16_2026-06-23_14-49-59_OF
9,21,OF,Wolf/mmnav/data/raw/OF/M09_D21_2026-06-28_15-10-45_OF
10,20,OF,Wolf/mmnav/data/raw/OF/M10_D20_2026-06-27_17-01-04_OF
10,21,OF,Wolf/mmnav/data/raw/OF/M10_D21_2026-06-28_16-25-17_OF
8,22,OF,Wolf/mmnav/data/raw/OF/M08_D22_2026-06-29_14-03-06_OF
9,18,OF,Wolf/mmnav/data/raw/OF/M09_D18_2026-06-25_15-42-43_OF
7,21,OF,Wolf/mmnav/data/raw/OF/M07_D21_2026-06-28_12-34-19_OF
4,5,OF1,Wolf/mmnav/data/raw/OF/M04_D05_2025-11-17_15-01-17_OF1
10,16,OF,Wolf/mmnav/data/raw/OF/M10_D16_2026-06-23_16-04-19_OF
7,17,OF,Wolf/mmnav/data/raw/OF/M07_D17_2026-06-24_12-50-41_OF
10,12,OF,Wolf/mmnav/data/raw/OF/M10_D12_2026-06-18_17-34-54_OF
8,16,OF,Wolf/mmnav/data/raw/OF/M08_D16_2026-06-23_13-27-30_OF
9,20,OF,Wolf/mmnav/data/raw/OF/M09_D20_2026-06-27_15-44-30_OF
3,6,OF1,Wolf/mmnav/data/raw/OF/M03_D06_2025-11-17_13-35-34_OF1
10,18,OF,Wolf/mmnav/data/raw/OF/M10_D18_2026-06-25_17-03-34_OF
7,19,OF,Wolf/mmnav/data/raw/OF/M07_D19_2026-06-26_12-16-44_OF
8,12,OF,Wolf/mmnav/data/raw/OF/M08_D12_2026-06-18_15-04-42_OF
3,9,OF1,Wolf/mmnav/data/raw/OF/M03_D09_2025-11-20_13-58-15_OF1
8,21,OF,Wolf/mmnav/data/raw/OF/M08_D21_2026-06-28_13-52-53_OF
7,20,OF,Wolf/mmnav/data/raw/OF/M07_D20_2026-06-27_12-40-55_OF
8,17,OF,Wolf/mmnav/data/raw/OF/M08_D17_2026-06-24_14-24-32_OF
8,13,OF,Wolf/mmnav/data/raw/OF/M08_D13_2026-06-19_14-16-23_OF
4,8,OF1,Wolf/mmnav/data/raw/OF/M04_D08_2025-11-20_15-19-43_OF1
8,19,OF,Wolf/mmnav/data/raw/OF/M08_D19_2026-06-26_13-43-46_OF
7,13,OF,Wolf/mmnav/data/raw/OF/M07_D13_2026-06-19_12-58-42_OF
7,16,OF,Wolf/mmnav/data/raw/OF/M07_D16_2026-06-23_12-02-54_OF
7,22,OF,Wolf/mmnav/data/raw/OF/M07_D22_2026-06-29_12-37-57_OF
3,21,MMNAVGPI,Wolf/mmnav/data/raw/VR/M03_D21_2025-12-02_12-41-08_MMNAVGPI
10,5,MMNAV,Wolf/mmnav/data/raw/VR/M10_D05_2026-06-10_17-03-46_MMNAV
10,22,MMNAV,Wolf/mmnav/data/raw/VR/M10_D22_2026-06-29_16-50-29_MMNAV
7,6,MMNAV,Wolf/mmnav/data/raw/VR/M07_D06_2026-06-11_13-51-51_MMNAV
6,7,MMNAV2,Wolf/mmnav/data/raw/VR/M06_D07_2025-11-19_16-00-00_MMNAV2
9,6,MMNAV,Wolf/mmnav/data/raw/VR/M09_D06_2026-06-11_15-28-46_MMNAV
8,13,MMNAV,Wolf/mmnav/data/raw/VR/M08_D13_2026-06-19_14-42-46_MMNAV
3,1,MMNAV1,Wolf/mmnav/data/raw/VR/M03_D01_2025-11-12_16-50-28_MMNAV1
2,25,MMNAVGPI,Wolf/mmnav/data/raw/VR/M02_D25_2025-12-06-13-00-00_MMNAVGPI
9,13,MMNAV,Wolf/mmnav/data/raw/VR/M09_D13_2026-06-19_16-04-37_MMNAV
