mouse,day,session,filepath
1,11,VR,Yiming/NWR1/ephys/raw/VR/M1_D11_2026-08-27_13-38-42_row1
1,12,VR,Yiming/NWR1/ephys/raw/VR/M1_D12_2026-08-28_12-36-36_row2
1,13,VR,Yiming/NWR1/ephys/raw/VR/M1_D13_2026-08-29_15-23-18_row3
1,14,VR,Yiming/NWR1/ephys/raw/VR/M1_D14_2026-08-30_15-32-44_row4
1,15,VR,Yiming/NWR1/ephys/raw/VR/M1_D15_2026-08-31_13-58-18_col1_1
1,16,VR,Yiming/NWR1/ephys/raw/VR/M1_D16_2026-09-01_17-09-28_col2_1
1,17,VR,Yiming/NWR1/ephys/raw/VR/M1_D17_2026-09-03_13-34-03_col3_1
1,18,VR,Yiming/NWR1/ephys/raw/VR/M1_D18_2026-09-04_14-53-03_col4_1
2,7,VR,Yiming/NWR1/ephys/raw/VR/M2_D7_2026-08-25_13-58-49_row1
2,8,VR,Yiming/NWR1/ephys/raw/VR/M2_D8_2026-08-26_16-18-41_row2
2,9,VR,Yiming/NWR1/ephys/raw/VR/M2_D9_2026-08-27_14-58-10_row3
2,10,VR,Yiming/NWR1/ephys/raw/VR/M2_D10_2026-08-28_14-22-13_row4
2,11,VR,Yiming/NWR1/ephys/raw/VR/M2_D11_2026-08-29_16-19-25_row5
2,12,VR,Yiming/NWR1/ephys/raw/VR/M2_D12_2026-08-30_16-25-35_col1_1
2,13,VR,Yiming/NWR1/ephys/raw/VR/M2_D13_2026-08-31_14-46-06_col2_1
2,14,VR,Yiming/NWR1/ephys/raw/VR/M2_D14_2026-09-01_17-55-21_col3_1
2,15,VR,Yiming/NWR1/ephys/raw/VR/M2_D15_2026-09-03_14-19-27_col4_1
2,16,VR,Yiming/NWR1/ephys/raw/VR/M2_D16_2026-09-04_15-33-40_row2
